nit,razon_social,supervisor,region,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales,ganancia_perdida,total_activos,total_pasivos,total_patrimonio,ano_de_corte,total_impuestos
800000118,EMPRESA SOCIAL DEL ESTADO HOSPITAL  DEPARTAMENTAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,SUPERSALUD,Eje Cafetero,QUINDIO,ARMENIA-QUINDIO,8610,SERVICIOS,0.11,0,0.21,0.01,0.21,2022,3307741.3566680006
800000276,AVICOLA EL MADROÑO SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,145,AGROPECUARIO,0.64,0.02,0.28,0.18,0.1,2022,1985692.4276840002
800000370,ESCANOGRAFIA S.A.,SUPERSALUD,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,8691,SERVICIOS,0.02,0,0.03,0.02,0.02,2022,1985692.4276840002
800000750,PETROSANTANDER COLOMBIA GMBH,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,0.23,-0.01,0.63,0.27,0.36,2022,42415171.254237995
800000946,PROCTER & GAMBLE COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4649,COMERCIO,1.42,0.03,0.69,0.42,0.27,2022,42415171.254237995
800001047,MAYA Y BEDOYA LTDA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4773,COMERCIO,0.02,0,0.01,0,0,2022,25103649.530394
800001075,AGROPECUARIA VARGAS VALLEJO Y CIA SAS - EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,126,AGROPECUARIO,0.02,0,0.06,0.04,0.02,2022,42415171.254237995
800001965,SEGURIDAD OMEGA LTDA,SUPERVIGILANCIA,Costa Pacífica,VALLE,CALI-VALLE,8010,SERVICIOS,0.1,0.01,0.02,0.01,0.01,2022,25103649.530394
800002030,COLSEIN SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA -CUNDINAMARCA,4659,COMERCIO,0.04,0.02,0.02,0,0.02,2022,42415171.254237995
800002143,GIMNASIO FONTANA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8530,SERVICIOS,0.03,0,0.04,0.01,0.04,2022,42415171.254237995
800002482,VARIADORES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4659,COMERCIO,0.07,0.01,0.06,0.04,0.02,2022,12390714.682238001
800002784,LABORATORIOS VETERLAND LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,0.03,0,0.02,0,0.01,2022,42415171.254237995
800002820,CONSTRUCTORA A CRUZ SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4112,CONSTRUCCIÓN,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800002942,ITELCA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6190,SERVICIOS,0.05,0,0.04,0.01,0.03,2022,42415171.254237995
800003215,VJ CARDIOSISTEMAS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800003267,INTERGRAFIC DE OCCIDENTE SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,1811,MANUFACTURA,0.12,0.02,0.17,0.14,0.03,2022,25103649.530394003
800003367,SUMINISTROS INDUSTRIALES Y ASESORIAS SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4774,COMERCIO,0.02,0,0.01,0.01,0.01,2022,23391888.622931007
800003454,MULTIJUEGOS S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,9321,SERVICIOS,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800003644,R&R LUBRICANTES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4732,COMERCIO,0.12,0.02,0.13,0.07,0.06,2022,12390714.682238001
800003675,DISEÑOS Y CONSTRUCCIONES S.A.S,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4220,CONSTRUCCIÓN,0.2,0.01,0.13,0.09,0.04,2022,1985692.427684
800003765,VIRREY SOLIS IPS. S.A.,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8610,SERVICIOS,0.8,0.16,0.53,0.33,0.2,2022,12390714.682238001
800003781,VR INGENIERIA Y MERCADEO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2513,MANUFACTURA,0.04,0,0.05,0.02,0.03,2022,42415171.254237995
800004048,FLORES EL ZORRO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,EL-ROSAL-CUNDINAMARCA-CUNDINAMARCA,125,AGROPECUARIO,0.02,0,0.01,0.01,0,2022,42415171.254237995
800004228,SARY SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,1081,MANUFACTURA,0.07,0.01,0.03,0.01,0.02,2022,12390714.682238001
800004254,INTEGRAL DE DISTRIBUCIONES Y SERVICIOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4690,COMERCIO,0.02,0,0.01,0,0.01,2022,42415171.254237995
800004599,COMERCIALIZADORA MARDEN LTDA,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,4669,COMERCIO,0.03,0,0.04,0.02,0.02,2022,25103649.530394003
800004800,IMPORTADORA CELESTE SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4530,COMERCIO,0.08,0,0.04,0.02,0.02,2022,12390714.682238001
