timestamp;sku;vendedor;cantidad
11/1/2019;63;42;5
16/4/2019;126;32;2
8/3/2019;6;57;8
11/4/2019;72;41;2
31/12/2019;37;50;9
2/7/2019;117;37;6
25/9/2019;44;31;6
28/5/2019;65;21;6
22/9/2019;36;17;6
15/8/2019;39;5;3
14/12/2019;25;37;8
13/1/2019;36;38;9
2/7/2019;17;52;10
24/1/2019;61;22;7
10/1/2019;95;41;8
23/8/2019;30;56;5
4/4/2019;75;18;8
15/10/2019;96;14;6
24/2/2019;41;21;10
8/8/2019;12;53;9
16/1/2019;21;57;10
9/10/2019;79;14;1
19/12/2019;15;45;4
20/11/2019;124;30;9
12/10/2019;14;4;9
4/1/2019;73;7;5
9/12/2019;51;45;1
24/1/2019;44;46;2
24/6/2019;129;26;9
3/12/2019;46;58;8
25/1/2019;49;56;5
17/7/2019;50;56;1
4/1/2019;28;40;10
18/8/2019;30;15;2
9/12/2019;71;44;8
5/9/2019;127;44;9
9/2/2019;48;24;3
7/9/2019;70;30;7
28/7/2019;59;9;6
4/1/2019;56;36;1
20/2/2019;90;14;4
26/3/2019;14;23;2
29/3/2019;108;1;3
5/12/2019;100;15;10
29/10/2019;123;20;7
5/11/2019;7;2;7
13/6/2019;47;47;10
20/6/2019;20;53;9
16/1/2019;77;13;10
8/9/2019;90;22;3
18/1/2019;102;37;7
14/5/2019;98;20;6
12/9/2019;8;4;2
12/8/2019;94;10;5
7/2/2019;91;4;5
24/2/2019;58;18;10
20/2/2019;29;50;6
24/6/2019;99;56;5
25/8/2019;83;23;4
28/5/2019;117;35;5
1/7/2019;41;33;8
22/1/2019;49;58;4
31/10/2019;41;4;2
17/12/2019;112;28;7
22/6/2019;113;30;4
25/12/2019;98;12;6
19/6/2019;95;12;2
21/2/2019;107;7;1
22/8/2019;43;51;3
25/9/2019;25;16;2
11/8/2019;26;46;2
11/4/2019;124;6;4
11/6/2019;41;25;1
17/3/2019;108;56;2
22/2/2019;34;2;1
26/12/2019;122;54;9
12/9/2019;27;35;1
19/7/2019;83;12;8
6/11/2019;104;2;10
15/2/2019;67;42;5
21/10/2019;112;11;8
2/3/2019;47;4;5
3/6/2019;93;10;1
9/6/2019;43;4;9
31/12/2019;109;31;6
25/2/2019;117;13;7
20/1/2019;60;25;3
4/7/2019;31;27;3
26/11/2019;74;39;8
11/8/2019;84;17;3
3/9/2019;127;49;3
19/7/2019;80;19;9
9/4/2019;114;47;7
1/4/2019;2;40;9
5/1/2019;56;33;10
5/8/2019;8;43;6
20/12/2019;21;21;8
3/7/2019;16;24;4
29/10/2019;1;25;9
17/9/2019;116;57;3
19/9/2019;75;30;4
26/11/2019;96;10;5
28/1/2019;33;49;4
1/1/2019;6;53;6
26/9/2019;126;11;6
6/2/2019;2;47;3
5/7/2019;65;2;10
29/4/2019;104;45;4
13/12/2019;104;30;3
4/1/2019;66;51;4
16/11/2019;51;25;7
5/1/2019;106;49;9
24/5/2019;16;46;6
14/8/2019;81;32;1
25/6/2019;129;53;1
23/1/2019;78;30;3
3/2/2019;123;3;2
8/4/2019;109;3;1
7/11/2019;11;6;3
2/3/2019;125;10;8
14/10/2019;41;38;5
10/12/2019;78;45;8
20/11/2019;64;11;5
21/2/2019;105;2;4
12/9/2019;99;57;1
10/1/2019;55;1;10
28/8/2019;29;12;5
19/9/2019;23;20;5
28/1/2019;57;33;6
9/1/2019;113;6;4
11/4/2019;125;58;8
28/6/2019;25;36;4
18/6/2019;14;45;6
25/1/2019;52;22;5
15/5/2019;108;2;10
3/4/2019;101;21;2
23/3/2019;102;8;6
19/9/2019;1;44;10
25/10/2019;41;15;6
25/7/2019;42;58;8
8/10/2019;96;44;1
14/9/2019;7;51;3
8/10/2019;57;38;2
15/9/2019;56;49;7
1/1/2019;112;21;4
20/6/2019;108;54;7
29/12/2019;122;5;10
14/10/2019;116;8;10
4/10/2019;24;16;3
19/2/2019;26;51;3
7/4/2019;95;1;1
8/7/2019;87;32;6
31/7/2019;53;55;3
20/6/2019;53;32;2
12/8/2019;111;8;3
2/6/2019;81;41;6
28/7/2019;91;47;2
25/12/2019;47;48;1
31/10/2019;6;28;7
11/12/2019;19;22;5
20/8/2019;126;34;2
27/3/2019;76;55;6
12/2/2019;86;4;5
14/7/2019;96;15;2
26/2/2019;25;36;4
18/3/2019;93;54;7
22/3/2019;42;20;7
8/6/2019;27;1;9
9/1/2019;17;19;6
30/1/2019;91;53;10
20/1/2019;27;14;10
6/9/2019;44;36;7
9/2/2019;10;26;1
15/11/2019;122;50;4
1/10/2019;32;9;2
24/4/2019;83;3;10
8/2/2019;107;31;4
9/12/2019;118;20;2
29/4/2019;127;29;1
25/3/2019;44;34;7
9/7/2019;64;49;7
10/4/2019;15;50;7
31/8/2019;16;36;2
8/4/2019;29;27;8
7/9/2019;57;41;6
4/11/2019;99;33;7
8/9/2019;29;20;3
29/5/2019;5;42;1
21/2/2019;72;45;4
19/1/2019;48;47;7
5/1/2019;84;56;4
13/9/2019;2;51;1
7/9/2019;49;15;8
29/6/2019;124;32;7
24/8/2019;63;42;7
22/2/2019;74;7;9
1/11/2019;129;45;2
11/7/2019;122;39;4
20/2/2019;64;19;2
10/12/2019;53;48;3
26/2/2019;78;27;8
14/3/2019;87;13;10
27/3/2019;89;30;7
24/11/2019;16;57;7
10/12/2019;116;2;3
22/10/2019;8;12;1
22/7/2019;94;2;3
29/12/2019;63;44;7
21/7/2019;110;36;5
24/1/2019;27;39;1
26/8/2019;54;43;1
8/11/2019;60;54;6
5/5/2019;33;27;9
22/2/2019;65;29;1
7/5/2019;87;9;8
11/10/2019;21;50;3
28/3/2019;127;2;1
5/12/2019;81;18;2
21/1/2019;4;14;1
22/1/2019;116;30;2
9/10/2019;27;39;1
17/6/2019;78;27;5
16/9/2019;47;12;4
3/4/2019;114;20;1
9/3/2019;97;43;5
5/11/2019;119;21;9
27/7/2019;58;10;3
27/9/2019;64;20;9
2/5/2019;25;20;9
8/2/2019;39;42;2
15/2/2019;56;4;4
13/10/2019;101;46;6
8/7/2019;18;55;4
30/4/2019;88;6;2
17/2/2019;77;30;1
8/10/2019;92;6;10
28/7/2019;61;57;3
8/10/2019;20;34;8
21/4/2019;2;42;5
1/2/2019;25;41;1
10/1/2019;65;9;3
3/6/2019;27;52;2
8/7/2019;76;7;10
16/10/2019;125;8;3
21/9/2019;17;7;6
13/11/2019;62;11;5
31/12/2019;108;13;7
13/7/2019;47;26;4
18/9/2019;43;23;9
19/9/2019;52;14;2
20/3/2019;109;17;4
18/7/2019;79;40;2
22/5/2019;41;55;7
15/10/2019;92;17;10
28/11/2019;55;35;8
13/3/2019;59;38;9
24/9/2019;42;30;9
28/3/2019;91;34;8
21/12/2019;117;25;8
3/2/2019;101;32;2
28/3/2019;77;19;10
8/5/2019;84;28;9
25/6/2019;102;17;6
7/2/2019;118;44;2
4/12/2019;13;44;8
2/11/2019;101;24;6
25/11/2019;2;32;2
3/5/2019;80;29;8
28/4/2019;85;2;9
21/10/2019;15;13;2
5/8/2019;91;32;3
23/8/2019;87;18;2
6/5/2019;97;30;2
8/5/2019;63;55;7
20/8/2019;3;6;9
24/7/2019;106;47;3
13/5/2019;68;40;4
22/7/2019;98;39;3
20/7/2019;71;1;6
23/12/2019;84;10;2
10/9/2019;18;31;3
12/12/2019;67;31;6
14/10/2019;123;56;1
26/4/2019;47;46;1
22/12/2019;98;28;8
8/9/2019;46;7;7
12/11/2019;128;7;7
20/12/2019;106;29;10
15/7/2019;125;40;4
16/1/2019;46;21;1
16/2/2019;113;53;4
11/1/2019;128;7;3
10/6/2019;73;33;5
25/4/2019;15;55;8
3/3/2019;69;40;2
7/7/2019;117;39;5
19/4/2019;89;56;7
6/5/2019;74;49;5
25/7/2019;123;7;9
4/2/2019;102;4;7
17/7/2019;38;26;7
7/5/2019;93;30;9
20/7/2019;102;11;7
12/5/2019;12;28;7
29/5/2019;115;15;8
20/5/2019;16;1;8
13/8/2019;104;1;7
8/2/2019;116;55;2
13/3/2019;61;18;4
23/8/2019;61;21;6
12/6/2019;77;23;1
3/8/2019;58;4;2
